date,events
2018-01-20,1
2018-01-22,1
2018-01-24,2
2018-01-26,2
2018-01-27,1
2018-01-28,1
2018-01-29,1
2018-02-01,1
2018-02-02,1
2018-02-06,1
2018-02-07,1
2018-02-08,2
2018-02-09,1
2018-02-12,1
2018-02-13,1
2018-02-14,1
2018-02-15,1
2018-02-16,2
2018-02-18,1
2018-02-19,1
2018-02-22,3
2018-02-23,1
2018-02-27,1
2018-03-01,1
2018-03-02,1
2018-03-08,1
2018-03-09,1
2018-03-13,1
2018-03-15,1
2018-03-16,1
2018-03-22,1
2018-03-23,2
2018-03-24,1
2018-03-25,1
2018-03-27,1
2018-03-29,1
2018-03-30,1
2018-04-05,1
2018-04-06,1
2018-04-10,2
2018-04-19,2
2018-04-20,1
2018-04-24,1
2018-04-27,1
2018-05-08,1
2018-05-17,2
2018-05-22,1
2018-05-24,1
2018-05-28,1
2018-06-07,1
2018-06-15,1
2018-06-16,1
2018-06-19,1
2018-06-20,1
2018-06-25,1
2018-06-29,1
2018-07-06,1
2018-07-25,1
2018-07-27,1
2018-07-28,1
2018-07-30,1
2018-07-31,1
2018-08-01,1
2018-08-04,1
2018-08-11,1
2018-08-15,4
2018-08-18,2
2018-08-19,4
2018-08-20,3
2018-08-21,2
2018-08-22,2
2018-08-23,1
2018-08-25,1
2018-08-29,2
2018-09-05,1
2018-09-11,1
2018-09-12,1
2018-09-17,1
2018-09-18,1
2018-09-19,1
2018-09-25,1
2018-09-26,3
2018-10-01,1
2018-10-03,1
2018-10-05,1
2018-10-06,1
2018-10-10,2
2018-10-11,1
2018-10-12,1
2018-10-15,1
2018-10-19,1
2018-10-20,1
2018-10-21,1
2018-10-23,1
2018-10-26,1
2018-10-31,2
2018-11-07,2
2018-11-09,1
2018-11-12,1
2018-11-17,1
2018-11-23,1
2018-12-05,1
2018-12-07,1
2019-01-08,1
2019-01-12,1
2019-01-15,1
2019-01-19,1
2019-01-23,1
2019-01-25,1
2019-01-29,1
2019-02-02,1
2019-02-09,1
2019-02-13,1
2019-02-15,1
2019-02-16,1
2019-02-18,1
2019-02-25,1
2019-02-28,1
2019-03-01,1
2019-03-02,2
2019-03-13,1
2019-03-22,1
2019-03-26,1
2019-04-03,1
2019-04-04,1
2019-04-05,1
2019-04-06,1
2019-04-09,1
2019-04-10,3
2019-04-17,1
2019-04-20,1
2019-04-23,1
2019-04-25,1
2019-04-30,1
2019-05-08,1
2019-05-09,1
2019-05-11,1
2019-05-15,1
2019-05-16,1
2019-05-17,1
2019-05-18,1
2019-05-22,2
2019-05-23,1
2019-05-31,1
2019-06-04,1
2019-06-06,1
2019-06-19,1
2019-06-26,1
2019-06-27,1
2019-06-29,1
2019-07-02,1
2019-07-09,1
2019-07-18,2
2019-07-23,1
2019-07-25,1
2019-08-01,1
2019-08-09,1
2019-08-10,1
2019-08-12,1
2019-08-22,1
2019-09-03,1
2019-09-04,1
2019-09-09,1
2019-09-12,2
2019-09-25,2
2019-09-26,2
2019-10-07,1
2019-10-09,1
2019-10-10,2
2019-10-11,1
2019-10-12,1
2019-10-13,1
2019-10-14,1
2019-10-16,1
2019-10-23,1
2019-10-24,2
2019-11-05,1
2019-11-16,1
2019-11-19,1
2019-11-23,1
2019-11-28,1
2019-12-12,1
2019-12-14,1
2020-01-07,1
2020-01-08,2
2020-01-22,1
2020-01-28,1
2020-01-30,1
2020-02-07,1
2020-02-08,1
2020-02-12,1
2020-02-16,2
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-03-05,1
2020-03-07,1
2020-03-11,1
2020-03-13,1
2020-03-18,2
2020-03-25,1
2020-04-15,1
2020-04-16,1
